"","price","assess","bdrms","lotsize","sqrft","colonial","lprice","lassess","llotsize","lsqrft"
"1",300,349.100006103516,4,6126,2438,1,5.70378255844116,5.85535860061646,8.72029685974121,7.79893350601196
"2",370,351.5,3,9903,2076,1,5.91350317001343,5.86220979690552,9.20059299468994,7.6381983757019
"3",191,217.699996948242,3,5200,1374,0,5.25227355957031,5.38311815261841,8.5564136505127,7.22548151016235
"4",195,231.800003051758,3,4600,1448,1,5.27299976348877,5.44587516784668,8.43381118774414,7.27793836593628
"8",315,300.200012207031,3,6210,1731,1,5.75257253646851,5.70444917678833,8.73391628265381,7.45645475387573
"9",206,236.100006103516,3,6000,1767,0,5.32787609100342,5.46425533294678,8.69951438903809,7.47703838348389
"14",212,279.299987792969,3,6460,1899,0,5.35658645629883,5.6322865486145,8.7733850479126,7.54908275604248
"22",270,318.799987792969,3,7800,2124,1,5.59842205047607,5.764564037323,8.96187877655029,7.66105651855469
"24",150,208,4,5218,1732,0,5.01063537597656,5.33753824234009,8.55986976623535,7.45703220367432
"27",230,267.399993896484,3,6710,1932,0,5.43807935714722,5.58874559402466,8.811354637146,7.56631088256836
"31",230,217.800003051758,4,4806,1573,1,5.43807935714722,5.38357734680176,8.47762012481689,7.36073970794678
"32",335,385,4,15086,2829,0,5.8141303062439,5.95324325561523,9.62152290344238,7.947678565979
"36",190,212.5,4,3500,1702,0,5.24702405929565,5.35894203186035,8.16051864624023,7.43955945968628
"38",575,518.099975585938,5,15634,3880,1,6.3543701171875,6.25016832351685,9.65720367431641,8.26359081268311
"43",248,273.299987792969,4,7050,1656,1,5.51342868804932,5.61056995391846,8.86078262329102,7.41216039657593
"46",265,252.100006103516,3,7834,1764,1,5.57973003387451,5.52982568740845,8.96622848510742,7.47533941268921
"47",313,324,3,1000,2768,0,5.74620342254639,5.78074359893799,6.90775537490845,7.92588043212891
"48",417.5,475.5,4,8112,3733,0,6.0342845916748,6.16436672210693,9.00109958648682,8.22496700286865
"67",279.5,336.5,4,8460,1915,1,5.63300228118896,5.81859827041626,9.04310417175293,7.55747270584106
"74",230,276.299987792969,3,4054,1736,1,5.43807935714722,5.62148714065552,8.30745887756348,7.45933866500854
"76",425,252.5,3,5525,1502,0,6.05208921432495,5.53141117095947,8.61703872680664,7.31455278396606
"78",330,359.5,3,8178,2186,1,5.7990927696228,5.88471412658691,9.00920295715332,7.68982887268066
