"","price","assess","bdrms","lotsize","sqrft","colonial","lprice","lassess","llotsize","lsqrft"
"15",265,287.5,3,6519,2312,1,5.57973003387451,5.6612229347229,8.7824764251709,7.74586820602417
"87",219,232,2,6362,1185,0,5.38907194137573,5.44673728942871,8.75809764862061,7.07749795913696
"50",315,279.200012207031,4,6660,1638,1,5.75257253646851,5.63192844390869,8.80387496948242,7.40123128890991
"63",310,253.600006103516,6,5348,1386,1,5.736572265625,5.53575801849365,8.5844783782959,7.23417711257935
"23",225,294.200012207031,3,6003,1768,0,5.41610050201416,5.68425989151001,8.7000150680542,7.47760438919067
"21",266,294.299987792969,3,5494,2048,1,5.58349609375,5.68459939956665,8.61141204833984,7.6246190071106
"83",244,306.799987792969,4,7893,2090,1,5.49716806411743,5.72619581222534,8.97373199462891,7.64491939544678
"55",250,268.399993896484,3,8410,1722,1,5.52146100997925,5.59247827529907,9.03717708587646,7.4512414932251
"53",210,198.699996948242,3,5146,1408,1,5.34710741043091,5.29179620742798,8.54597473144531,7.24992561340332
"51",264,313.899993896484,3,6637,1972,1,5.57594919204712,5.74907445907593,8.8004150390625,7.5868034362793
"88",242,252,4,4950,1774,1,5.48893785476685,5.52942895889282,8.50714302062988,7.48099231719971
"11",285,314,4,6000,2336,1,5.65248918533325,5.74939298629761,8.69951438903809,7.75619554519653
"58",258,287,4,6525,1850,1,5.55295944213867,5.6594820022583,8.78339576721191,7.52294111251831
"64",471.25,482,5,15834,2617,1,6.15538883209229,6.17794418334961,9.66991519927979,7.86978387832642
"19",268,266.700012207031,3,5642,1376,1,5.59098720550537,5.58612442016602,8.63799381256104,7.22693586349487
"54",180,221.5,3,6017,1812,1,5.19295692443848,5.4004225730896,8.70234394073486,7.50218629837036
"69",325,437,4,10859,2709,0,5.78382539749146,6.07993316650391,9.29274940490723,7.90433502197266
"68",380,515.099975585938,4,15105,2589,1,5.94017124176025,6.24436092376709,9.62278079986572,7.85902690887451
